证监会行业门类代码_Csrciccd1,证监会行业门类名称_Csrcicnm1,日期_Date,Alpha_流通市值加权_Alpha_tmv,市场溢酬因子,R方_流通市值加权_R2_tmv,调整R方_流通市值加权_R2adj_tmv,Alpha_总市值加权_Alpha_mc,风险因子_总市值加权_Beta_mc,R方_总市值加权_R2_mc,调整R方_总市值加权_R2adj_mc
H,住宿和餐饮业,2018/12/28,0.00028192,1.297,0.601137,0.599482,0.00032325,1.2988,0.600234,0.598575
H,住宿和餐饮业,2019/12/31,-0.00038804,1.0846,0.622893,0.621335,-0.00039019,1.099,0.621186,0.61962
H,住宿和餐饮业,2020/12/31,0.00041151,0.9422,0.330677,0.327899,0.00032072,0.9237,0.337699,0.334951
H,住宿和餐饮业,2021/12/31,0.00053447,0.5205,0.050098,0.046156,0.00051398,0.518,0.052208,0.048275
I,信息传输、软件和信息技术服务业,2010/12/31,0.00050266,0.9755,0.70588,0.704655,0.00063263,1.0022,0.68947,0.688176
I,信息传输、软件和信息技术服务业,2011/12/30,-0.00013328,1.0402,0.821657,0.82092,-0.00017385,1.0724,0.843988,0.843343
I,信息传输、软件和信息技术服务业,2012/12/31,-0.00096285,1.1364,0.828922,0.828213,-0.00079552,1.1714,0.828845,0.828135
I,信息传输、软件和信息技术服务业,2013/12/31,0.00236071,1.161,0.507129,0.50504,0.00241106,1.196,0.519247,0.51721
I,信息传输、软件和信息技术服务业,2014/12/31,-0.00025604,1.1515,0.518906,0.516927,-0.00023233,1.1868,0.545413,0.543542
I,信息传输、软件和信息技术服务业,2015/12/31,0.00209454,1.244,0.725368,0.724233,0.00212364,1.2422,0.738927,0.737848
I,信息传输、软件和信息技术服务业,2016/12/30,-0.00068659,1.4253,0.882738,0.882254,-0.00056737,1.4,0.893181,0.89274
I,信息传输、软件和信息技术服务业,2017/12/29,-0.00134866,1.5606,0.600687,0.599037,-0.00118598,1.535,0.674954,0.673611
I,信息传输、软件和信息技术服务业,2018/12/28,0.0003075,1.2803,0.685598,0.684294,0.00014675,1.2735,0.738372,0.737286
