指数代码_IdxCd,交易日期_TrdDt,收盘价(元/点)_ClPr
000001,2011-09-14,2484.827
000001,2011-09-15,2479.055
000001,2011-09-16,2482.343
000001,2011-09-19,2437.795
000001,2011-09-20,2447.755
000001,2011-09-21,2512.963
000001,2011-09-22,2443.057
000001,2011-09-23,2433.159
000001,2011-09-26,2393.183
000001,2011-09-27,2415.054
000001,2011-09-28,2392.062
000001,2011-09-29,2365.343
000001,2011-09-30,2359.22
000001,2011-10-10,2344.787
000001,2011-10-11,2348.516
000001,2011-10-12,2420
000001,2011-10-13,2438.79
000001,2011-10-14,2431.375
000001,2011-10-17,2440.402
000001,2011-10-18,2383.485
000001,2011-10-19,2377.512
000001,2011-10-20,2331.366
000001,2011-10-21,2317.275
000001,2011-10-24,2370.333
000001,2011-10-25,2409.672
000001,2011-10-26,2427.48
000001,2011-10-27,2435.614
000001,2011-10-28,2473.41
000001,2011-10-31,2468.25
000001,2011-11-01,2470.019
000001,2011-11-02,2504.108
000001,2011-11-03,2508.09
000001,2011-11-04,2528.294
000001,2011-11-07,2509.799
000001,2011-11-08,2503.836
000001,2011-11-09,2524.919
000001,2011-11-10,2479.536
000001,2011-11-11,2481.084
000001,2011-11-14,2528.714
000001,2011-11-15,2529.761
000001,2011-11-16,2466.959
000001,2011-11-17,2463.046
000001,2011-11-18,2416.562
000001,2011-11-21,2415.13
000001,2011-11-22,2412.625
000001,2011-11-23,2395.065
000001,2011-11-24,2397.554
000001,2011-11-25,2380.224
000001,2011-11-28,2383.034
000001,2011-11-29,2412.393
000001,2011-11-30,2333.414
000001,2011-12-01,2386.86
000001,2011-12-02,2360.664
000001,2011-12-05,2333.229
000001,2011-12-06,2325.905
000001,2011-12-07,2332.73
000001,2011-12-08,2329.82
000001,2011-12-09,2315.27
000001,2011-12-12,2291.545
000001,2011-12-13,2248.59
000001,2011-12-14,2228.525
000001,2011-12-15,2180.895
000001,2011-12-16,2224.84
000001,2011-12-19,2218.235
000001,2011-12-20,2215.93
000001,2011-12-21,2191.148
000001,2011-12-22,2186.297
000001,2011-12-23,2204.784
000001,2011-12-26,2190.11
000001,2011-12-27,2166.205
000001,2011-12-28,2170.013
000001,2011-12-29,2173.561
000001,2011-12-30,2199.417
000001,2012-01-04,2169.39
000001,2012-01-05,2148.452
000001,2012-01-06,2163.395
000001,2012-01-09,2225.89
000001,2012-01-10,2285.744
000001,2012-01-11,2276.046
000001,2012-01-12,2275.01
000001,2012-01-13,2244.58
000001,2012-01-16,2206.193
000001,2012-01-17,2298.376
000001,2012-01-18,2266.384
000001,2012-01-19,2296.075
000001,2012-01-20,2319.118
000001,2012-01-30,2285.038
000001,2012-01-31,2292.61
000001,2012-02-01,2268.08
000001,2012-02-02,2312.556
000001,2012-02-03,2330.405
000001,2012-02-06,2331.136
000001,2012-02-07,2291.902
000001,2012-02-08,2347.53
000001,2012-02-09,2349.589
000001,2012-02-10,2351.981
000001,2012-02-13,2351.855
000001,2012-02-14,2344.771
000001,2012-02-15,2366.702
000001,2012-02-16,2356.86
000001,2012-02-17,2357.181
000001,2012-02-20,2363.597
000001,2012-02-21,2381.43
000001,2012-02-22,2403.587
000001,2012-02-23,2409.554
000001,2012-02-24,2439.628
000001,2012-02-27,2447.057
000001,2012-02-28,2451.857
000001,2012-02-29,2428.487
000001,2012-03-01,2426.115
000001,2012-03-02,2460.693
000001,2012-03-05,2445.002
000001,2012-03-06,2410.445
000001,2012-03-07,2394.794
000001,2012-03-08,2420.276
000001,2012-03-09,2439.462
000001,2012-03-12,2434.859
000001,2012-03-13,2455.795
000001,2012-03-14,2391.23
000001,2012-03-15,2373.774
000001,2012-03-16,2404.736
000001,2012-03-19,2410.184
000001,2012-03-20,2376.839
000001,2012-03-21,2378.195
000001,2012-03-22,2375.772
000001,2012-03-23,2349.539
000001,2012-03-26,2350.599
000001,2012-03-27,2347.179
000001,2012-03-28,2284.881
